sku,product,remaining_units
DRAS01-CRRR,\[Renew\] 345 Relief Cream 50ml,571800
BODP04-M,\[EN\]\[4ea\] Bio-Collagen Real Deep Mask 4ea,311580
DRAS01-M100,345 Relief Cream Mist 100ml,243680
MECUP10-PKR,COLLAGEN NIGHT WRAPPING MASK 75ml,200000
SESALOHS02-CCPTR,(Renew) Milky Piggy Collagen Ceramide Coating Protein Treatment 100ml,187843
MECUS13-A,PDRN PINK PEPTIDE SERUM 30ML,183920
cosP01-mpatch,Acne Pimple Master 24 patches,177000
MECUS08-TP,ZERO PORE PAD 2.0 (70pcs),174400
CMXS09-VB,THE -A Retinal Shot Tightening Booster 15ml,120840
MECUP07-ML,(1EA) COLLAGEN LIFTING MASK 27g,113200
MECUP13-M4,PDRN PINK COLLAGEN GEL MASK 4ea,111310
BODP04-MHS,Hydro Cera-nol Real Deep Mask 1Box (34g\*4ea),110380
DRAS01-CASR,\[Renew\] 147 Barrier Cream 50ml,103435
MECUS13-CCR,\[RENEW\] PDRN PINK COLLAGEN CAPSULE CREAM 55g,100000
SMO01-Bag02,MOIDA Shopping Bag Small(FREE),96000
BODP04-MS,Refreshing Sea Kelp Real Deep Mask 1Box (34g\*4ea),94280
S1004SM01-HEOTC,(OTC) Madagascar Centella Hyalu-Cica Water-Fit Sun Serum UV 50ml,90000
MECUS09-C,DEEP VITA C CAPSULE CREAM 55g,84070
MECUP07-MZ,(1EA) ZERO PORE COOLING MASK 27g,77200
IDCS01-EPSE,(Target) STARLIT KITTEN BRIGHTENING HYDROGEL EYE PATCH\_SINGLE,72430
MECUS10-CG50,COLLAGEN JELLY CREAM 50ml,70200
MECUP14-M4,KOJIC ACID TURMERIC BRIGHTENING GEL MASK 4ea,67620
MECUS10-C,TRIPLE COLLAGEN CREAM 4.0 50ml,67440
AXS04-SD,Dark Spot Correcting Glow Serum 50ml,66455
DRAS01-SCR,\[Renew\] Vitamin C Boosting Serum 30ml,65420
MECUS13-I,PDRN PINK PEPTIDE EYE CREAM 30ml,63774
MECUC08-F,ZERO FOAM CLEANSER 120g,63575
ANS10-SPDRN,PDRN Hyaluronic Acid Capsule 100 Serum 30ml,61372
RLSM04-Sotcm,BIRCH JUICE MOISTURIZING UVLOCK\_10ml,61000
ANC01-OCR,HEARTLEAF PORE CONTROL CLEANSING OIL 200ml,59896
S1004C01-OC,Madagascar Centella Light Cleansing OIl 200ml,59120
BODP04-MRC,REJUVENATING CAVIAR PDRN REAL DEEP MASK 4EA,55680
MECUS13-TP,PDRN PINK COLLAGEN TONING GEL TONER PAD 70ea,55420
ANS10-SR,\[RENEW\] NIACINAMIDE10% + TXA 4% SERUM 30mL,54300
SESALOHS17-HMR,(Renew) CER-100 Collagen Coating Hair A+ Muscle Spray 250ml,54008
MECUP07-MP,(1EA) DEEP PEPTIDE RADIANCE MASK 27ml,54000
ANC01-FQRRR,\[RENEW\] HEARTLEAF QUERCETINOL CLEANSING FOAM 150ml,52840
TKBSM05-StickOTC,(OTC) COTTON AIRY SUN STICK,50540
RLSM04-Sotc,(OTC) BIRCH JUICE MOISTURIZING UVLOCK SUN 50ml,50370
MECUP14-PKR,\[Renew\]KOJIC ACID TURMERIC NIGHT WRAPPING MASK 75ML 2.0,49800
MECUP13-MP,PDRN PINK VITA COATING MASK 1EA,48800
MECUS05-GAR,\[RENEW\] AGE-R GLUTATHIONE GLOW SERUM 30g,48000
MECUS15-SR,\[Renew\] NIACINAMAIDE TRANEXAMIC ACID SERUM 30ml,48000
S1004S01-A,Madagascar Centella Ampoule 100ml,47400
AbibP20-Meye,COLLAGEN EYE PATCH JERICHO ROSE JELLY 60pcs,45208
RLC01-CLRR,(Renewal) 1025 DOKDO CLEANSER\_150ml,43770
MECUC14-F,KOJIC ACID TURMERIC TONING CLEANSER 120g,43480
MECUS08-TPM,ZERO PORE PAD MILD (70pcs),43285
MECUS15-C,TXA NIACINAMAIDE CAPSULE CREAM 55g,42770
DRAC02-CCB,Pure Grinding Cleansing Balm 50ml,42100
cosC05-Gelr,Low pH Good Morning Gel Cleanser 150mL,42077
MECUS13-SB,PDRN PINK COLLAGEN VOLUME MULTI BALM 10g,41740
MECUS13-BS,PDRN PINK COLLAGEN BUBBLE SERUM 95ml,41660
MECUS10-SR,TRIPLE COLLAGEN SERUM 4.0 55ml,41352
MECUS09-S,DEEP VITA A RETINOL SERUM 30ml,41311
MECUS14-S,KOJIC ACID TURMERIC NIACINAMIDE SERUM 30ML,41000
MECUS05-GC,AGE-R GLUTATHIONE GLOW CAPSULE CREAM 50ml,40900
MECUBS14-BW,KOJIC ACID TURMERIC VITA BRIGHTENING BODY WASH 400ml,40560
RLS01-TenR,(Renewal) 1025 DOKDO TONER\_200ml,40500
MECUP08-PK,ZERO PORE BLACKHEAD MUD MASK 100g,40418
MECUP09-M1,\[1EA\] DEEP VITA C GLUTATHIONE BRIGHTENING MASK,40160
RLS04-CMR,\*Renewal Birch Juice Moisturizing Cream 80ml,40000
SMO01-Bag01,MOIDA Shopping Bag Big(FREE),40000
DRAC02-CCBPR,\[renew\]Pore Refresh Grinding Cleansing Balm 50ml,39200
